sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS1426812,wastewater metagenome,SAMEA4527633,"Reykjavik, Iceland",64.126,21.817,Iceland,,,,ERR1725982;ERR1713365;ERR2592260;ERR1713365
ERS1426813,wastewater metagenome,SAMEA4527634,"Jerusalem, Israel",31.768,35.213,Israel,,,,ERR1725984;ERR1713366;ERR1725983;ERR1713366
ERS1426814,wastewater metagenome,SAMEA4527635,"Rome, Italy",41.902,12.496,Italy,,,,ERR1713367;ERR1713367
ERS1426815,wastewater metagenome,SAMEA4527636,"Almaty, Kazakhstan",43.222,76.851,Kazakhstan,,,,ERR1713368;ERR1713368
ERS1426816,wastewater metagenome,SAMEA4527637,"Nairobi, Kenya",1.292,36.821,Kenya,,,,ERR1713369;ERR1725986;ERR2592261;ERR1725985;ERR1713369
ERS1426817,wastewater metagenome,SAMEA4527638,"Phnom Penh, Cambodia",11.544,104.892,Cambodia,,,,ERR1713370;ERR1713370
ERS1426818,wastewater metagenome,SAMEA4527639,"Colombo, Sri Lanka",6.927,79.861,Sri Lanka,,,,ERR1713371;ERR1713371
ERS1426819,wastewater metagenome,SAMEA4527640,"Belvaux, Luxembourg",49.509,5.922,Luxembourg,,,,ERR1713372;ERR1713372
ERS1426820,wastewater metagenome,SAMEA4527641,"Riga, Latvia",56.949,24.105,Latvia,,,,ERR1725987;ERR1713373;ERR2592262;ERR2592336;ERR1713373
ERS1426821,wastewater metagenome,SAMEA4527642,"Chisinau, Moldova",47.01,28.863,Moldova,,,,ERR1725988;ERR1713374;ERR1725989;ERR1713374
ERS1426822,wastewater metagenome,SAMEA4527643,"Skopje, Republic of Macedonia",41.997,21.428,Macedonia,,,,ERR2592263;ERR1725990;ERR1713375;ERR1725991;ERR1713375
ERS1426823,wastewater metagenome,SAMEA4527644,"St. Venera, Malta",35.89,14.476,Malta,,,,ERR1725992;ERR1725993;ERR1713376;ERR1713376
ERS1426824,wastewater metagenome,SAMEA4527645,"Bedong, Malaysia",5.728,100.507,Malaysia,,,,ERR2592264;ERR1713377;ERR2592337;ERR1725995;ERR1725994;ERR1713377
ERS1426825,wastewater metagenome,SAMEA4527646,"Ibadan, Nigeria",7.377,3.947,Nigeria,,,,ERR2592265;ERR1713378;ERR1725996;ERR1713378
ERS1426826,wastewater metagenome,SAMEA4527647,"Bilthoven, The Netherlands",52.136,5.21,Netherlands,,,,ERR1725998;ERR2592338;ERR2592266;ERR1713379;ERR1725997;ERR1713379
ERS1426827,wastewater metagenome,SAMEA4527648,"Oslo, Norway",59.913,10.752,Norway,,,,ERR2592267;ERR1713380;ERR1725999;ERR1713380
ERS1426828,wastewater metagenome,SAMEA4527649,"Kathmandu, Nepal",27.717,85.324,Nepal,,,,ERR1713381;ERR1713381
ERS1426829,wastewater metagenome,SAMEA4527650,"Dunedin, New Zealand",45.878,170.502,New Zealand,,,,ERR1713382;ERR1713382
ERS1426830,wastewater metagenome,SAMEA4527651,"Pulawy, Poland",51.416,21.969,Poland,,,,ERR1713383;ERR1726000;ERR2592268;ERR1713383
ERS1426831,wastewater metagenome,SAMEA4527652,"Karachi, Pakistan",24.861,67.009,Pakistan,,,,ERR1713384;ERR1713384
ERS1426832,wastewater metagenome,SAMEA4527653,"Lima, Peru",12.046,77.042,Peru,,,,ERR1713385;ERR1713385
ERS1426833,wastewater metagenome,SAMEA4527654,"Dakar, Senegal",14.764,17.366,Senegal,,,,ERR1713386;ERR1713386
ERS1426834,wastewater metagenome,SAMEA4527655,"Singapore, Singapore",1.352,103.819,Singapore,,,,ERR1713387;ERR1726001;ERR2592269;ERR1713387
ERS1426835,wastewater metagenome,SAMEA4527656,"Belgrade, Serbia",44.786,20.448,Serbia,,,,ERR1726002;ERR1713388;ERR2592270;ERR1713388
ERS1426836,wastewater metagenome,SAMEA4527657,"Bratislava, Slovakia",48.148,17.107,Slovakia,,,,ERR1713389;ERR1726003;ERR1713389
ERS1426837,wastewater metagenome,SAMEA4527658,"Ljubljana, Slovenia",46.056,14.505,Slovenia,,,,ERR1713390;ERR2592271;ERR1726004;ERR1713390
ERS1426838,wastewater metagenome,SAMEA4527659,"Uppsala, Sweden",59.858,17.638,Sweden,,,,ERR1713391;ERR1713391
ERS1426839,wastewater metagenome,SAMEA4527660,"Gotheborg, Sweden",57.708,11.974,Sweden,,,,ERR1726005;ERR1713392;ERR1726006;ERR1713392
ERS1426840,wastewater metagenome,SAMEA4527661,"N''Djamena, Chad",12.134,15.055,Chad,,,,ERR2592272;ERR1726008;ERR1713393;ERR2592339;ERR1726007;ERR1713393
ERS1426841,wastewater metagenome,SAMEA4527662,"Lome, Togo",6.172,1.231,Togo,,,,ERR1713394;ERR1713394
ERS1426842,wastewater metagenome,SAMEA4527663,"Ankara, Turkey",39.933,32.859,Turkey,,,,ERR2592273;ERR1713395;ERR1726009;ERR1713395
ERS1426843,wastewater metagenome,SAMEA4527664,"Moshi, Tanzania",3.343,37.329,Tanzania,,,,ERR1713396;ERR1713396
ERS1426844,wastewater metagenome,SAMEA4527665,"Atlanta, GA, USA",33.749,84.388,USA,,,,ERR1713397;ERR1713397
ERS1426845,wastewater metagenome,SAMEA4527666,"Seattle,WA, USA",47.606,122.332,USA,,,,ERR1726010;ERR1713398;ERR1726011;ERR2592274;ERR1713398
ERS1426846,wastewater metagenome,SAMEA4527667,"Chicago, IL, USA",41.878,87.629,USA,,,,ERR1726014;ERR2592340;ERR1726012;ERR1713399;ERR1726015;ERR1726013;ERR2592275;ERR1713399
ERS1426847,wastewater metagenome,SAMEA4527668,"Portland,OR, USA",37.09,95.712,USA,,,,ERR2592276;ERR1713400;ERR1713400
ERS1426848,wastewater metagenome,SAMEA4527669,"El Paso, TX, USA",31.761,106.485,USA,,,,ERR1713401;ERR1726017;ERR2592277;ERR1726016;ERR1713401
ERS1426849,wastewater metagenome,SAMEA4527670,"El Paso, TX, USA",31.761,106.485,USA,,,,ERR1713402;ERR1726018;ERR1726019;ERR2592278;ERR1713402
ERS1426850,wastewater metagenome,SAMEA4527671,"El Paso, TX, USA",31.761,106.485,USA,,,,ERR1726023;ERR1726022;ERR2592341;ERR2592279;ERR1726021;ERR1713403;ERR1726020;ERR1713403
ERS1426851,wastewater metagenome,SAMEA4527672,"El Paso, TX, USA",31.761,106.485,USA,,,,ERR2592280;ERR1726028;ERR1726027;ERR1726025;ERR1713404;ERR1726026;ERR1726029;ERR2592342;ERR1726024;ERR1713404
ERS1426852,wastewater metagenome,SAMEA4527673,"South Adams County, CO, USA",39.887,104.828,USA,,,,ERR1713405;ERR1713405
ERS1426853,wastewater metagenome,SAMEA4527674,"Boulder, CO, USA",40.015,105.27,USA,,,,ERR1713406;ERR1713406
ERS1426854,wastewater metagenome,SAMEA4527675,"Ho Chi Minh, Vietnam",10.823,106.629,Viet Nam,,,,ERR1713407;ERR1713407
ERS1426855,wastewater metagenome,SAMEA4527676,"Pristina, Kosovo",42.662,42.662,Kosovo,,,,ERR1713408;ERR1713408
ERS1426856,wastewater metagenome,SAMEA4527677,"Johannesburg, South Africa",26.204,28.047,South Africa,,,,ERR1713409;ERR2592281;ERR1726030;ERR1713409
ERS1426857,wastewater metagenome,SAMEA4527678,"Lusaka, Zambia",15.387,28.322,Zambia,,,,ERR1726031;ERR2592282;ERR1713410;ERR1713410
ERS1426858,wastewater metagenome,SAMEA4527679,"Kitwe, Zambia",12.823,28.217,Zambia,,,,ERR1726033;ERR1726034;ERR1713411;ERR2592343;ERR2592283;ERR1726032;ERR1726035;ERR1713411
