analysis_id,sample_id,assembly_run_id,experiment_type,pipeline_version,instrument_platform,study_id,bioproject,study_name,n_samples,centre_name,biomes
MGYA00579311,SRS3323770,ERZ869925,assembly,5.0,Illumina HiSeq 4000,MGYS00005435,PRJEB32216,EMG produced TPA metagenomics assembly of the PRJNA472060 data set (Reclaimed water Metagenome).,5,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00579312,SRS3323771,ERZ869929,assembly,5.0,Illumina HiSeq 4000,MGYS00005435,PRJEB32216,EMG produced TPA metagenomics assembly of the PRJNA472060 data set (Reclaimed water Metagenome).,5,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00579313,SRS3323774,ERZ869911,assembly,5.0,Illumina HiSeq 4000,MGYS00005435,PRJEB32216,EMG produced TPA metagenomics assembly of the PRJNA472060 data set (Reclaimed water Metagenome).,5,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585600,SRS3616366,ERZ1714329,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585601,SRS3525995,ERZ1714330,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585602,SRS3528376,ERZ1714331,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585603,SRS3527095,ERZ1714332,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585604,SRS3606952,ERZ1714333,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585605,SRS3613830,ERZ1714334,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585606,SRS3616251,ERZ1714335,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585607,SRS3530132,ERZ1714336,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585608,SRS3530135,ERZ1714337,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585609,SRS3619589,ERZ1714338,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00585610,SRS3526275,ERZ1714339,assembly,5.0,MinION,MGYS00005769,PRJEB42552,EMG produced TPA metagenomics assembly of PRJNA479723 data set (Nanopore metagenomics).,11,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00587673,ERS632919,ERZ1764624,assembly,5.0,Illumina HiSeq 2000,MGYS00005802,PRJEB43967,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,6,EMG,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
MGYA00587674,ERS632918,ERZ1764622,assembly,5.0,Illumina HiSeq 2000,MGYS00005802,PRJEB43967,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,6,EMG,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
MGYA00587675,ERS632929,ERZ1764618,assembly,5.0,Illumina HiSeq 2000,MGYS00005802,PRJEB43967,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,6,EMG,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
MGYA00587676,ERS632927,ERZ1764614,assembly,5.0,Illumina HiSeq 2000,MGYS00005802,PRJEB43967,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,6,EMG,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
MGYA00587677,ERS632917,ERZ1764613,assembly,5.0,Illumina HiSeq 2000,MGYS00005802,PRJEB43967,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,6,EMG,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
MGYA00587678,ERS632924,ERZ1764620,assembly,5.0,Illumina MiSeq,MGYS00005802,PRJEB43967,EMG produced TPA metagenomics assembly of PRJEB8087 data set (Metagenomes of Danish EBPR WWTPs).,6,EMG,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
MGYA00590709,ERS2520974,ERZ3455898,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590710,ERS2520927,ERZ3455866,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590711,ERS2520988,ERZ3455897,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590712,ERS2520981,ERZ3455890,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590713,ERS2520877,ERZ3455808,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590714,ERS2520970,ERZ3455893,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590715,ERS2520972,ERZ3455883,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590716,ERS2520953,ERZ3455869,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590717,ERS2520922,ERZ3455840,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590718,ERS2520909,ERZ3455833,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590719,ERS2520884,ERZ3455829,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590720,ERS2520882,ERZ3455804,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590721,ERS2520964,ERZ3455878,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590722,ERS2520930,ERZ3455853,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590723,ERS2520925,ERZ3455848,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590724,ERS2520880,ERZ3455819,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590725,ERS2520868,ERZ3455793,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590726,ERS2520973,ERZ3455879,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590727,ERS2520975,ERZ3455899,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590728,ERS2520932,ERZ3455856,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590729,ERS2520916,ERZ3455846,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590730,ERS2520987,ERZ3455895,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590731,ERS2520985,ERZ3455894,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590732,ERS2520971,ERZ3455886,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590733,ERS2520940,ERZ3455864,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590734,ERS2520913,ERZ3455861,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590735,ERS2520906,ERZ3455828,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590736,ERS2520887,ERZ3455820,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590737,ERS2520956,ERZ3455900,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590738,ERS2520983,ERZ3455889,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590739,ERS2520963,ERZ3455875,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590740,ERS2520958,ERZ3455874,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590741,ERS2520921,ERZ3455841,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590742,ERS2520865,ERZ3455792,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590743,ERS2520955,ERZ3455885,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590744,ERS2520904,ERZ3455847,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590745,ERS2520984,ERZ3455896,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590746,ERS2520976,ERZ3455891,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590747,ERS2520966,ERZ3455881,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590748,ERS2520954,ERZ3455873,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590749,ERS2520943,ERZ3455860,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590750,ERS2520915,ERZ3455844,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590751,ERS2520918,ERZ3455838,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590752,ERS2520950,ERZ3455870,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590753,ERS2520934,ERZ3455852,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590754,ERS2520892,ERZ3455813,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590755,ERS2520875,ERZ3455801,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590756,ERS2520870,ERZ3455791,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590757,ERS2520936,ERZ3455858,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590758,ERS2520965,ERZ3455887,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590759,ERS2520962,ERZ3455882,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590760,ERS2520957,ERZ3455877,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590761,ERS2520945,ERZ3455871,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590762,ERS2520944,ERZ3455865,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590763,ERS2520931,ERZ3455857,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590764,ERS2520923,ERZ3455850,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590765,ERS2520917,ERZ3455845,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590766,ERS2520886,ERZ3455835,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590767,ERS2520862,ERZ3455799,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590768,ERS2520986,ERZ3455892,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590769,ERS2520914,ERZ3455836,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590770,ERS2520895,ERZ3455823,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590771,ERS2520863,ERZ3455807,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590772,ERS2520967,ERZ3455880,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590773,ERS2520941,ERZ3455872,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590774,ERS2520947,ERZ3455868,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590775,ERS2520935,ERZ3455851,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590776,ERS2520912,ERZ3455843,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590777,ERS2520888,ERZ3455812,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590778,ERS2520979,ERZ3455888,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590779,ERS2520960,ERZ3455876,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590780,ERS2520949,ERZ3455862,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
MGYA00590781,ERS2520905,ERZ3455825,assembly,5.0,Illumina HiSeq 3000,MGYS00005846,PRJEB47494,EMG produced TPA metagenomics assembly of PRJEB27054 data set (Global surveillance of antimicrobial resistance).,110,EMG,root:Engineered:Wastewater:Water and sludge
