kingdom,phylum,ERR2729815,ERR2729816,ERR2729817,ERR2729818,ERR2729819,ERR2729820,ERR2729821,ERR2729822,ERR2729823,ERR2729824,ERR2729825,ERR2729826,ERR2729827,ERR2729828,ERR2729829,ERR2729830,ERR2729831,ERR2729832,ERR2729833,ERR2729834,ERR2729835,ERR2729836,ERR2729837,ERR2729838,ERR2729839,ERR2729840,ERR2729841,ERR2729842,ERR2729843,ERR2729844,ERR2729845,ERR2729846,ERR2729847,ERR2729848,ERR2729849,ERR2729850,ERR2729851,ERR2729852,ERR2729853,ERR2729854,ERR2729855,ERR2729856,ERR2729857,ERR2729858,ERR2729859,ERR2729860,ERR2729861,ERR2729862,ERR2729863,ERR2729864,ERR2729865,ERR2729866,ERR2729867,ERR2729868,ERR2729869,ERR2729870,ERR2729871,ERR2729872,ERR2729873,ERR2729874,ERR2729875,ERR2729876,ERR2729877,ERR2729878,ERR2729879,ERR2729880,ERR2729881,ERR2729882,ERR2729883,ERR2729884,ERR2729885,ERR2729886,ERR2729887,ERR2729888,ERR2729889,ERR2729890,ERR2729891,ERR2729892,ERR2729893,ERR2729894,ERR2729895,ERR2729896,ERR2729897,ERR2729898,ERR2729899,ERR2729900,ERR2729901,ERR2729902,ERR2729903,ERR2729904,ERR2729905,ERR2729906,ERR2729907,ERR2729908,ERR2729909,ERR2729910,ERR2729911,ERR2729912,ERR2729913,ERR2729914,ERR2729915,ERR2729916,ERR2729917,ERR2729918,ERR2729919,ERR2729920,ERR2729921,ERR2729922,ERR2729923,ERR2729924,ERR2729925,ERR2729926,ERR2729927,ERR2729928,ERR2729929,ERR2729930,ERR2729931,ERR2729932,ERR2729933,ERR2729934,ERR2729935,ERR2729936,ERR2729937,ERR2729938,ERR2729939,ERR2729940,ERR2729941,ERR2729942,ERR2729943,ERR2729944,ERR2729945,ERR2729946,ERR2729947,ERR2729948,ERR2729949,ERR2729950,ERR2729951,ERR2729952,ERR2729953,ERR2729954,ERR2729955,ERR2729956,ERR2729957,ERR2729958,ERR2729959,ERR2729960,ERR2729961,ERR2729962,ERR2729963,ERR2729964,ERR2729965,ERR2729966,ERR2729967,ERR2729968,ERR2729969,ERR2729970,ERR2729971,ERR2729972,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995
Bacteria,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,1,0,0,2,0,2,2,4,1,2,3,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,3,0,3,36,4,29,6,23,3,27,22,39,15,28,7,8,13,8,14,5,9,6,11,13,13,11,6,14,7,21,13,11,7,3,7,2,11,3,9,18,2,19,3,15,4,9,9,12,2,12,13,5,13,4,20,1,18,12,18,10,9,9,11,15,4,16,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlorobi,38,137,42,113,34,105,6,24,8,28,10,24,15,37,8,32,7,32,14,61,6,56,7,36,2,63,5,60,9,50,2,89,8,71,4,84,15,108,12,100,9,82,3,22,1,23,4,32,2,23,0,36,2,41,11,62,2,18,5,39,16,558,22,500,26,536,3,76,4,53,11,66,0,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,0,1,0,4,0,3,0,3,0,4,9,8,2,8,9,10,4,4,1,5,1,5,1,20,1,20,1,31,4,15,1,9,4,9,6,358,10,297,5,302,6,13,5,33,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,35,15,35,18,38,19,106,20,156,11,124,9,456,352,728,444,505,328,1090,325,899,228,857,292,1022,872,1821,841,1470,724,1321,833,2080,617,1718,716,190,28,204,41,213,22,297,17,258,27,251,25,841,392,954,504,764,623,6441,788,5199,414,5449,724,11254,2858,9892,2459,12381,2913,13714,1477,10314,1364,9662,1572,0,2,6,4,18,9,16,8,21,10,89,25,152,27,104,22,456,438,692,499,488,504,1026,404,1247,365,1153,290,1215,848,1550,814,1521,902,1543,582,2135,1327,1626,702,152,13,184,15,163,19,528,27,471,15,465,19,2024,508,1787,424,1898,525,11468,812,9132,935,9825,1018,26103,2555,22622,2302,19825,2267,24836,1251,18654,2167,18488,2401,0,11,6,24,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Chrysiogenetes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,223,154,209,147,156,123,155,21,177,9,169,11,85,67,84,98,56,44,53,60,46,40,24,39,140,166,248,168,213,142,292,116,389,107,356,113,15,261,14,259,6,326,20,9,21,12,16,9,16,66,13,80,11,80,14,42,6,12,6,23,53,116,42,127,51,155,77,80,72,79,53,71,0,1,1,3,405,513,374,427,374,392,303,64,465,51,294,42,101,216,139,235,128,245,87,174,119,160,101,132,534,537,651,460,587,520,1191,380,1485,724,1245,433,30,513,12,441,13,485,66,24,45,17,52,31,9,98,6,80,13,88,23,107,12,89,20,97,81,307,59,271,53,267,98,108,77,201,72,225,0,1,0,4,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,4,2,0,2,0,2,0,0,0,0,0,0,1,0,4,0,4,0,9,7,11,1,5,2,17,11,29,18,26,12,47,24,64,10,40,22,0,10,0,2,0,7,0,0,0,0,0,2,0,1,0,0,0,6,0,3,0,3,1,4,13,21,7,14,6,14,16,23,11,24,23,26,0,0,1,0,0,3,1,0,2,4,0,1,0,0,0,0,1,0,2,2,3,0,2,3,2,5,7,2,12,9,13,6,13,6,40,10,31,20,23,16,0,5,0,2,0,5,0,2,0,1,0,2,0,1,0,0,0,1,0,4,0,5,0,9,5,13,1,8,2,14,7,6,1,14,6,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fibrobacteres,229,99,209,81,189,58,85,117,87,113,90,113,79,40,120,30,94,26,48,66,45,47,57,51,34,106,51,98,49,88,39,106,51,85,52,105,0,79,1,66,0,61,0,57,1,63,0,69,0,9,0,17,0,12,0,36,0,12,0,34,0,27,2,33,1,33,0,39,2,29,0,32,0,0,0,0,60,38,60,34,52,27,24,101,58,100,34,76,41,15,40,28,30,22,15,54,24,54,14,33,9,57,9,53,11,53,14,59,34,101,15,63,0,27,1,12,1,14,0,29,0,23,0,34,0,4,0,11,0,9,0,17,0,18,0,30,1,15,0,19,0,20,0,12,0,21,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,2150,992,2058,806,1825,634,920,340,1102,387,896,421,1143,526,1521,631,1096,490,1624,561,1448,508,1119,476,671,829,1120,833,854,786,599,580,757,488,707,499,72915,3077,69950,3396,74235,3312,15880,947,14951,995,15141,1241,8618,750,10877,972,8676,1131,16255,2013,12649,799,13097,1927,13710,3015,13232,2635,16718,3246,12598,2268,9468,1937,8662,2220,2,70344,31467,90909,1218,1164,1061,902,1283,841,756,742,1206,745,873,525,905,1162,1371,1210,1022,1113,916,1238,1109,1125,1238,829,736,1397,968,1213,904,1391,771,728,932,1623,870,936,31457,1768,22566,1566,28318,1650,7814,711,6667,532,7484,701,4582,957,3887,707,4524,871,4716,2013,4291,2122,4465,2258,5968,2408,4895,2268,5094,2153,4061,1122,2860,1807,3214,1922,0,75303,105023,1007319,2,0,44555,32793,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Fusobacteria,1123,529,1064,437,969,371,341,90,321,117,352,112,393,172,514,231,436,123,499,245,415,220,412,218,168,334,252,354,200,314,135,345,140,357,152,325,5514,2015,5329,2246,5913,2267,1352,459,1245,477,1433,553,913,352,1148,490,904,490,1678,878,1319,742,1381,790,1520,1146,727,1063,838,1158,732,1161,578,1022,557,1230,0,0,0,1,374,292,270,225,352,219,158,123,252,114,129,96,154,145,182,145,166,146,151,179,192,170,163,131,99,202,90,155,89,216,96,184,104,441,81,193,2977,707,2252,668,2645,802,786,224,653,197,809,248,493,323,387,269,501,334,571,665,473,702,459,715,372,729,343,561,320,584,338,412,279,716,288,810,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Gemmatimonadetes,60,120,55,108,47,104,195,190,208,213,148,193,107,187,140,241,120,186,279,228,287,205,223,185,204,117,378,99,299,104,298,197,450,165,367,202,20,102,17,85,15,115,60,163,65,202,52,204,23,72,31,85,30,93,12,79,12,25,10,74,59,29,53,31,77,38,121,75,87,73,95,67,1,0,2,0,8,48,6,47,7,30,40,151,49,133,33,109,19,175,34,132,16,159,51,130,56,129,75,101,60,77,95,60,82,71,120,68,171,159,120,99,3,20,1,23,1,25,2,100,1,106,6,103,8,72,5,57,2,79,2,61,6,44,3,65,24,30,20,24,17,16,39,46,30,68,32,62,1,6,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Ignavibacteriae,55,188,58,122,60,123,574,301,740,283,571,274,335,1899,547,2106,416,1631,876,2034,783,1717,791,1623,1915,4911,3092,4669,2480,4414,1493,2950,2369,2643,2232,2892,31,133,33,122,39,124,11,58,18,41,13,67,22,237,27,340,14,380,25,496,15,211,20,462,56,1554,66,1396,63,1669,116,561,77,449,63,505,2,7,5,4,49,153,37,118,34,127,239,239,342,231,238,191,147,1692,244,1761,200,1709,331,1573,362,1432,325,1065,1104,3717,1355,3026,1171,3413,1209,1565,1446,3694,1012,1966,0,54,2,67,5,58,1,37,3,25,4,33,7,337,9,218,4,329,2,449,3,490,1,516,22,1180,17,1088,34,1014,46,220,31,358,26,414,0,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Kiritimatiellaeota,10,7,3,10,5,11,87,13,71,13,69,18,112,171,153,274,139,221,175,219,134,155,101,157,336,411,580,340,519,318,649,320,947,280,779,307,1,16,0,14,0,30,0,13,0,8,0,23,0,112,0,200,0,181,4,119,2,71,2,125,6,429,5,372,13,387,16,280,7,250,22,300,0,0,0,0,3,9,6,7,5,3,9,6,12,3,7,3,11,53,12,32,9,27,8,22,11,31,4,12,46,44,44,41,41,38,58,50,78,81,74,40,1,34,0,25,2,33,0,8,0,5,0,10,0,44,0,32,1,43,3,38,1,38,0,44,2,104,0,83,3,91,5,53,4,81,2,88,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Lentisphaerae,2,17,0,12,3,6,2,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,4,0,3,0,0,0,6,0,4,1,1,0,0,10,15,10,24,7,25,2,6,3,4,2,5,1,4,0,5,2,7,4,1,0,1,5,8,2,9,1,4,0,8,2,15,2,7,0,14,0,0,0,0,0,4,1,7,4,6,1,3,1,0,0,1,1,2,5,1,0,0,1,0,0,3,0,4,0,4,0,5,0,3,0,1,1,11,0,4,0,3,0,2,0,6,0,0,0,1,0,1,0,1,0,2,0,3,0,1,0,4,0,6,0,3,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospinae,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,2,0,0,0,1,0,1,2,2,0,2,0,40,12,45,14,24,8,962,66,791,76,536,46,699,314,1193,321,720,279,459,1026,760,705,674,895,8,1,2,0,13,0,0,0,1,0,0,2,21,6,35,3,16,3,579,25,407,22,480,32,1576,88,1003,93,1238,135,1046,283,716,279,683,301,1,1,0,0,1,2,0,0,2,0,8,0,13,1,7,2,75,56,135,44,101,52,1005,292,1317,264,1232,195,1846,975,2230,775,2034,991,2719,2578,3422,5600,2543,3161,2,0,1,0,0,1,0,0,0,1,3,0,10,5,9,3,12,5,235,22,173,20,216,27,530,67,456,61,446,53,361,105,281,164,278,192,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Planctomycetes,132,100,113,104,122,101,531,184,685,204,543,185,978,418,1323,600,954,406,1578,1009,1264,756,1174,792,1155,1468,1870,1475,1586,1359,1581,1353,2284,1174,2126,1242,99,186,56,207,94,160,322,292,322,247,314,355,243,358,296,502,243,558,1629,1067,1240,388,1324,1014,2016,2127,2216,1801,2497,1986,3658,2333,2629,1988,2620,2212,9,1,0,0,26,95,18,60,36,54,448,297,715,325,479,247,741,1027,1067,1079,868,1006,1020,1686,1271,1575,1318,1226,1507,2443,1885,2005,1758,2419,2508,1666,3272,3820,2571,2071,312,230,257,174,258,219,1082,792,1079,595,1037,770,947,2140,913,1800,978,2266,4051,5169,3417,5706,3648,6203,8444,7993,7478,6990,6781,6975,10110,4713,7571,7662,7341,8198,5,18,12,21,94,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,150569,94942,143932,75640,140217,73109,132559,50528,193573,54657,156224,56280,129088,61485,207657,74519,171055,56368,179281,83276,176881,72003,173982,68909,121484,81095,222123,76293,177679,72398,128840,83817,202557,70918,185272,77717,105367,77821,102806,80043,111954,84653,219587,60608,199717,63076,204031,83132,208512,42302,256963,58388,192716,65361,206927,62296,159285,25859,164686,60835,121254,75821,111773,67290,136474,83252,138078,71875,106233,61156,98384,74821,30,47849,20023,62097,91158,80991,77546,65264,82132,57112,73551,64546,116392,60373,74584,47271,68431,76628,109695,82219,84938,77761,77862,86664,96396,78703,88613,60739,84128,71953,99888,61781,90908,70033,99467,56893,127450,126402,92721,70695,50596,52985,38876,45404,44539,55274,104415,49077,83649,39388,93162,47553,110193,50346,91263,40442,100922,53245,68753,65619,51891,67979,56705,74152,56150,63537,46615,55136,44949,53963,52393,35185,38798,58120,39585,65511,77,43223,60646,562578,352,28,16322,11034,9,9,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Spirochaetes,51,80,61,70,45,58,72,32,112,37,77,39,157,178,212,231,184,142,319,279,285,236,255,207,571,1753,945,1640,751,1468,481,419,705,342,645,394,1,138,3,110,5,120,0,23,0,28,1,44,3,67,0,71,0,79,6,250,5,116,2,222,25,701,11,618,25,785,29,399,17,423,15,451,2,0,0,0,50,181,44,156,72,143,37,100,71,88,41,71,149,723,178,800,151,751,726,1708,915,1473,863,1109,1428,1491,1760,1257,1618,1411,1468,1304,1877,2794,1336,1498,6,307,4,239,3,291,0,75,1,56,1,94,2,455,2,366,1,471,10,1465,9,1641,10,1743,39,1275,32,1144,39,1195,37,928,27,1480,32,1681,1,1,3,6,26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
